Year,Month,UniqueID,Discipline,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,DisciplineOther,Status,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,StatusOther,OS,CurrentProgramming,CurrentDatabases,CurrentVersionControl,CurrentShell,CurrentSatisfaction,WhyAttending,Column27,Column28,Column29,WhyAttendingOther,Exposure,Column31,Column32,Column33,Column34,Column35,ExposureOther,ProgrammingLanguageCovered,RawData,WriteScript,SearchOnline,OvercomeProblem,ProgrammingSoftware,AnalysesEasier,HopeToLearn,Country,Gender,GenderOther,Race,Column43,Column44,Column45,Column46,Column47,Column48,RaceOther
2018,01,4tbadd,,,,,,,,,,,,,,Geomatics,,,,,,,Research Staff,,,,UNIX/Linux,Several times per year,Several times per year,Monthly,Several times per year,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,R,Neutral,Agree,Agree,Agree,Agree,Agree,Fill my gap,Ethiopia,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,1fawar,,,,,,,,,,,Mathematics or Statistics,,,,,Graduate Student,,,,,,,,,Windows,Daily,Daily,Weekly,Weekly,Very satisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,United States of America,Female,,,Asian,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Weekly,Daily,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,,,,,,,,My friend/colleague told me about it,,R,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I have strong intention to do my research by using R and other software.,Ethiopia,,,,,,,,,,
2018,01,0dbadd,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,,,,Unsatisfied,To learn skills that I can apply to my current work,,,,,,,,,My advisor/supervisor told me about it,,,R,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,"organize, analysis and presentation of data",Ethiopia,,,,,,,,,,
2018,01,27baby,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Less than once per year,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,R,Agree,Agree,Agree,Disagree,Agree,Strongly agree,"data processing, entry, analysis and interpretation ",Ethiopia,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,1KAHAM,,,,Business/Economics,,,Engineering,,,,Mathematics or Statistics,,,,,Graduate Student,,,,,,,,,Windows,Monthly,Several times per year,Less than once per year,Less than once per year,Unsatisfied,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,As a requirement for my program/current position,,Received an email about the workshop,,,,,,,Python,Agree,Disagree,Agree,Neutral,Agree,Agree,Python in basic as well as advance version.,United States of America,Male,,,Asian,,,,,,
2018,01,1mecro,,,,,,,,,,,,,,Data Science,,,,,,,,,,Pursuing Masters,Apple/Mac OS,Daily,Several times per year,Never,Never,Unsatisfied,,,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Agree,Agree,Disagree,Neutral,Neutral,Agree,It will provide me insight on Python,United States of America,Male,,,Asian,,,,,,
2018,01,2nopar,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Monthly,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly agree,functional skills to build on for future utilization of python and analytic systems,United States of America,Female,,,,,,,,,Multiracial
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,0maher,,,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Monthly,Several times per year,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,"I hope to elevate my relationship with R from ""painfully progressing"" to ""comfortably challenging."" Currently I'm forcing myself to try to do things in R that I know I could do in Excel very quickly (data sorting, cleaning, merging, etc). However, it often takes many many hours longer because I don't have professional guidance. I'd like to learn more basic coding, data manipulation, and tips for organizing project data. For example, until a short seminar on R I had no idea that you could lump all documents related to a project into a single project file in R to send to a collaborator! That hour was so helpful that I'm certain this workshop will be hugely beneficial. ",United States of America,Female,,,,,,,White,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,1daflo,,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Windows,Daily,Never,Monthly,Daily,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope to learn how to use Jupyter effectively and how to incorporate it into my research workflow.,United States of America,Female,,,,,,,White,,
2018,01,1wacol,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,,Postdoctoral Researcher,,,,,,,,Windows,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,,My friend/colleague told me about it,,R,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,learn some useful skills I can apply at work,United States of America,Female,,,,,,,White,,
2018,01,4lamon,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,,,,,,Research Staff,,,,Apple/Mac OS,Less than once per year,Less than once per year,Never,Never,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,Neither,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Disagree,,United States of America,Female,,,,,,,White,,
2018,01,1posyc,,Bioinformatics/Genomics,,,,,,,,,,,,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Several times per year,Never,Never,Several times per year,Very unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,Neither,Strongly agree,Disagree,Neutral,Disagree,Disagree,Agree,Analyze genomes,United States of America,Female,,,,,Hispanic or Latino(a),,,,
2018,01,,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Monthly,Daily,Less than once per year,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,R,Agree,Agree,Agree,Agree,Strongly agree,Agree,R software  analysis ,Ethiopia,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,3MACAV,,,,,,,,,,,,Physical Sciences,,,Undergraduate Student,,,,,,Research Staff,,,,Windows,Weekly,Several times per year,Never,Never,Not applicable,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,,United States of America,Female,,,Asian,,,,White,,
2018,01,,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Less than once per year,Less than once per year,Less than once per year,Less than once per year,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,R,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,,Ethiopia,,,,,,,,,,
2018,01,,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,,,,,,,,,,,,,,,,,,R,,,,,,,,Ethiopia,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,1nysha,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,Business/Economics,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Several times per year,Never,Never,Monthly,Very unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Disagree,Strongly agree,,Agree,Strongly agree,I want to learn how to document what I do in a way that is helpful and how to make that information accessible and easy to understand. ,United States of America,Female,,,,,,,White,,
2018,01,1ligle,,,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Several times per year,Never,Several times per year,Not applicable,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,,United States of America,Female,,,,,,,White,,
2018,01,4kiblu,,,,,,,Engineering,,,,,,,,,,,Faculty,,,,,,,Not sure,Never,Never,Never,Never,Neutral,,,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,programming,South Africa,,,,,,,,,,
2018,01,1satre,,Bioinformatics/Genomics,,,,Earth Sciences,,,,Life Sciences,,,,,,,,Faculty,,,,,,,Apple/Mac OS,Monthly,Several times per year,Monthly,Several times per year,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Getting introduced first to Jupyter, but also to Python, which I hope to learn in the future.",United States of America,Female,,,,,,,White,,
2018,01,,,,,Business/Economics,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,Python,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,,United States of America,,,,,,,,,,
2018,01,1trhun,,,,,Computer Science,,,,,,Mathematics or Statistics,,,,,Graduate Student,,,,,,,,,Windows,Daily,Daily,Daily,Monthly,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Python data analysis skills,United States of America,Male,,,Asian,,,,,,
2018,01,2nymid,,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Weekly,Several times per year,Several times per year,Daily,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Neither,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,,United States of America,Female,,,,,,,White,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,0bebea,,,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Weekly,Monthly,Monthly,Never,Neutral,To learn skills that I can apply to my current work,,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,Python,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Agree,"good data management, best practices for sharing data",United States of America,Female,,,,,,,White,,
2018,01,4asoli,Agricultural or Environmental Sciences,,,,,Earth Sciences,,,,,,,,,,Graduate Student,,,,,,,,,UNIX/Linux,Daily,Several times per year,Never,Never,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,,United States of America,Male,,,,Black or African American,,,,,
2018,01,7chyos,,,,,,,,,,Life Sciences,,,,,,,Postdoctoral Researcher,Faculty,,,,,,,Windows,Monthly,,,,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,,United States of America,Male,,,,Black or African American,,,,,
2018,01,6mwman,,,,,,,Engineering,,,,,,,Geomatics,,,,Faculty,,,,,,,Windows,Less than once per year,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,Python,Strongly agree,Agree,Agree,Neutral,Agree,Agree,How to use python,South Africa,,,,,,,,,,
2018,01,1wobla,Agricultural or Environmental Sciences,,,,,,,,,Life Sciences,,,,,,,,,,,Research Staff,,,,Apple/Mac OS,Monthly,Several times per year,Never,Never,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,I know very little about SQL and OpenRefine so would like to learn more about them.  I do data analysis in R and would also like to improve my proficiency in that environment.,United States of America,Male,,,,,,,White,,
2018,01,1orpac,Agricultural or Environmental Sciences,,,,Computer Science,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Weekly,Monthly,Weekly,Several times per year,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Jupyter Notebook ,United States of America,Male,,,,,,,White,,
2018,01,1unjac,,,,,Computer Science,,Engineering,Humanities,Library Sciences,,,,Social Sciences,,Undergraduate Student,,,,,,,,,,Windows,Weekly,Never,Daily,Daily,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,Python,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,"I wish to not just learn raw skills in data analytics, but to also develop an intuitive sense of when to use them and how to apply data science to more domains.",United States of America,Male,,,Asian,,,,,,
2018,01,2bo62n,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,Earth Sciences,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Daily,Never,Weekly,Never,Satisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,Python,Agree,Agree,Agree,Agree,Agree,Agree,,United States of America,Male,,,,,,,White,,
2018,01,4fa352,,Bioinformatics/Genomics,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Several times per year,Several times per year,Daily,Neutral,To learn skills that I can apply to my current work,,,,,,,,,,My friend/colleague told me about it,,Python,,,,,,,,,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,2DULOE,,,,,,,Engineering,,,,Mathematics or Statistics,,,,,,,,,,,,,Emeritus Professor,Windows,Less than once per year,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,,,,,,,,,,My friend/colleague told me about it,,Python,Agree,Agree,Agree,Neutral,Neutral,Agree,I'm a FORTRAN guy for 50 years - I want to try PYTHON,South Africa,,,,,,,,,,
2018,01,1secoe,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Weekly,Never,Never,Weekly,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,,Germany,,,,,,,,,,
2018,01,1viste,,,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Several times per year,Less than once per year,Less than once per year,Several times per year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Agree,Agree,Agree,Agree,Neutral,Agree,How to use R to deal with big data and statistics ,Germany,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,6masea,,,,,,Earth Sciences,,,,,,,,,,Graduate Student,,,,,,,,University Academic,Windows,Several times per year,Several times per year,Never,Never,Not sure,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,Python,Strongly agree,Disagree,Neutral,Disagree,Disagree,Strongly agree,How to programme so as to help me automate processes and solve problems for my research work.,South Africa,,,,,,,,,,
2018,01,0cogom,,,,,,,Engineering,,,,,,,,,Graduate Student,,,,,Research Staff,,,,Windows,Never,Never,Never,Never,Not sure,,To learn skills that I can apply to my work in the future,,,,,,,,My advisor/supervisor told me about it,,,Python,Strongly disagree,Neutral,Agree,Agree,Neutral,Agree,learn and apply programming language in the furure,South Africa,,,,,,,,,,
2018,01,2habed,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,,,,,,,Research Staff,,,,Apple/Mac OS,Never,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,,My friend/colleague told me about it,,I don't know/I don't remember,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly agree,I am hoping this will be the start of a life-long journey of being able to analyse and understand my own data!,South Africa,,,,,,,,,,
2018,01,4kahut,,,,,,,Engineering,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,How to organize and analyse data,South Africa,,,,,,,,,,
2018,01,2dugra,Agricultural or Environmental Sciences,,,,,Earth Sciences,Engineering,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Monthly,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,,South Africa,,,,,,,,,,
2018,01,1peali,,,,Business/Economics,Computer Science,,Engineering,,,,Mathematics or Statistics,Physical Sciences,,,,Graduate Student,,,,Government Employee,,Management/Administrator,,,Apple/Mac OS,Weekly,Weekly,Monthly,Never,Satisfied,To learn skills that I can apply to my current work,,,As a requirement for my program/current position,,,,,,,My friend/colleague told me about it,,Python,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Python stuff,South Africa,,,,,,,,,,
2018,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,01,1dumai,,,,,,,Engineering,,,,,,,Draughting,,,,,,Government Employee,,,,,Windows,Less than once per year,Less than once per year,Less than once per year,Less than once per year,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,As a requirement for my program/current position,,,,,,My advisor/supervisor told me about it,My friend/colleague told me about it,,Python,Agree,Disagree,Agree,Disagree,Neutral,Agree,Python programming ,South Africa,,,,,,,,,,
2018,01,2elbet,,,,,Computer Science,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Daily,Never,Several times per year,Weekly,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,Python,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,United States of America,Female,,,Asian,,Hispanic or Latino(a),,,,
2018,01,1grtul,Agricultural or Environmental Sciences,,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Monthly,Less than once per year,Less than once per year,Less than once per year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Agree,Neutral,Agree,Agree,Neutral,Agree,Efficient and reproducible data flow,United States of America,Male,,,,,,,White,,
