FirstSurvey,Status,StatusOther,Field,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,FieldOther,NumWorkshops,TimeSinceWorkshop,WhichCarpentry,ContentCovered,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,ContentCoveredOther,Behaviors,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,BehaviorsOther,ProgrammingBefore,ProgrammingSince,ChangeInConfidence,HowToolsHelped,Column34,Column35,Column36,Column37,HowToolsHelpedOther,Writing,WritingResponse,OtherTopics,AdvanceCareer,MotivatedSeekKnowledge,AnalysesReproducible,ProfessionalRecognition,Column42,ImproveResearchProductivity,GainedConfidence,ImpactResponse,Country,Gender,Race,Column45,Column46,Column47,Column48,Column49,Column50,Involvement,Column51,Column52,Column53,Column54,Column55,Column56,Column57,InvolvementOther,ContinuousLearning,Column59,Column60,Column61,Column62,Column63,ContinousLearningOther,Recommended,LikelyToRecommend,OutcomesResponse,NotApplyingSkillsResponse,AdditionalCommentsResponse
I don't know.,Academic Research Staff,,Agricultural or Environmental Sciences,Biomedical/Health Sciences,,,,,,,Life Sciences,Mathematics or Statistics,,,,1,More than 1 year ago,Data Carpentry,,Git,,,,Python,R,Spreadsheets,SQL,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Daily.,Daily.,I’m more confident now.,,,,,,It has improved my ability to explain to novices what I`m doing and how I`m doing it.,No.,,,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,The clarity of the course,Netherlands,,,,,,,,,Subscribed to the newsletter.,Attended at least one community call.,Became a workshop helper.,,,,,Contributed to a Carpentry lesson.,Will do the Carpentry instructor course soon.,Participated in an in-person short course.,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,Yes.,10,"I could see how carpentry is very novice friendly, therefore I recommended it to many collegues. Now they are able to take over some of my work, allowing me to do the more interesting stuff.",,
Yes,Undergraduate Student,,,,,,,,,,,Mathematics or Statistics,,,,1,6 months - 1 year ago,Software Carpentry,,Git,,,,Python,,,,Unix Shell,,,,,,,,,,,,,Monthly.,Monthly.,I’m more confident now.,,,,,,,No.,,"data carpentry, R, Python",Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,,United States of America,Female,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
Yes,,Administrative Staff,,,,,,,,,,,,,Information Technology,2,0-6 months ago,Software Carpentry,,Git,,,,,R,,,Unix Shell,,,,,,,,Reusing code.,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Less than once per year.,Weekly.,I’m more confident now.,,,They are improving my ability to manage data.,,,,No.,,"Functions (e.g. OpenFaaS, AWS Lambda, IBM OpenWhisk, Azure Functions, etc.) and Containers (i.e. Docker).  I feel that these tools can allow cloud platform consumers a layer of abstraction that can allow their workloads to be cloud agnostic.",Neutral,Strongly agree,Neutral,Disagree,Agree,Neutral,Agree,I gained confidence in utilizing version control.  I also learned that my comfort level (practically zero) with the workshop material was on part with the other attendees.,United States of America,Male,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,,,,,,,,,,,Participated in an online short course.,,,,,,Yes.,10,"The carpentry workshop engaged my curiosity, and has led me to spend some of my personal time investigating and practicing what I have learned outside of the office.  The workshop also provided me with the necessary lingo to be able to speak to my coworkers who use these tools on a daily basis.","The role that I hold in my place of work does not require my use of the skills.  However, the roles that my coworkers play do require the skills.  So, the workshop has allowed me to better understand and appreciate my coworkers.",
Yes,Graduate Student,,,,,,Earth Sciences,,,,,,,,,1,6 months - 1 year ago,Software Carpentry,,Git,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,Sharing code or data publicly on places like GitHub or FigShare.,,Less than once per year.,Several times per year.,I’m less confident now.,,,,The tools I learned have not helped me with my work.,,,No.,,,Neutral,Agree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,,United States of America,Male,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.)",,,,,,,,,,,,,,Did Nothing as I didn't know what it offers and where to find them.,,,,,,,,Yes.,8,,,
Yes,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,Software Carpentry,,Git,,,,,R,,SQL,Unix Shell,I don't remember.,,,,,,,,,,,I used these tehniques already before.,Daily.,Daily.,I’m equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,big data. data mining.,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,"Knowledge about Software Carpentry workshops, maybe attend another one in the future. Great idea!",Costa Rica,,,,,,,,,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,I don't remember.,7,More active Git use.  Some useful shell hacks.,,Partly too easy for me. But the idea is great and in the future I would like to participate in other courses or would be able to teach someone myself as I have some experience in teaching IT to secondary school teachers.
Yes,Graduate Student,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,Data Carpentry,,,,,,Python,,,,Unix Shell,,,,,,,,,,,,,Less than once per year.,I have not been using tools like these.,I’m less confident now.,,,,,I am not using the tools I learned.,,Not sure.,,,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,,United States of America,Female,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.)",,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Graduate Student,,,,,,,,Humanities,,Life Sciences,,,,,2,6 months - 1 year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't know.,Industry,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,6 months - 1 year ago,Software Carpentry,,Git,,,,Python,,,,,,,,,"Using databases, scripts and queries to manage large data sets.",,,,,,,,Several times per year.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,No.,,,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,,United States of America,Male,,,Black or African American(A person having origins in any of the Black racial groups of Africa – includes Caribbean Islanders and other of African origin.),,,,,,,,,,,,,,,,,,,,,,7,,,
Yes,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,Data Carpentry,Cloud Computing,,,,,,R,,,,,,Improving data management and project organization.,,,,,,,,,,I had not been using tools like these.,I have not been using tools like these.,I’m equally confident now.,,,,,I am not using the tools I learned.,,Not sure.,,,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,It made clear how big data sets can and should be managed and analyzed in a structured and reproducible way.,Netherlands,,,,,,,,,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,No.,7,,I'm currently not working with big data sets.,
,Other Academic Staff,Faculty,Agricultural or Environmental Sciences,,,,,,Humanities,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,R,,,Unix Shell,I don't remember.,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",,,Reusing code.,,,,,Several times per year.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,making my code reproducible for others,"humanities focused!  honestly, I'd take anything the carpentries offered :-)",,,,,,,,,,Female,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,Subscribed to the newsletter.,,,Became a Carpentry instructor.,,,,Contributed to a Carpentry lesson.,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,- more comfortable in python and with git    - advocating for this training to be at my school (every place I go!) and build into UG curriculum,,
,Graduate Student,,,,,,,Engineering,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,R,,,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,,,I had not been using tools like these.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,,,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,Participated in an online short course.,,Participated in a semester long course.,,Used non-Carpentry self-guided material.,,No.,8,,,
,Postdoc,,,,,,,,,,,,,,Cogntive Science,1,6 months - 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Monthly.,Monthly.,I’m equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Not sure.,,,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Acquiring greater skills and confidence using programing environments; and also seeing good practice in programing training.,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,10,,,
,Other Academic Staff,Librarian,,,,,,,,Library Sciences,,,,,,1,6 months - 1 year ago,,,Git,,,OpenRefine,,,,,Unix Shell,,,,,,,,Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Less than once per year.,Less than once per year.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,,,,,Used non-Carpentry self-guided material.,,Yes.,10,,"1. Lack of time :(  2. Also, it can be difficult to find practical ways to apply some of the things I've learned to solve some work issues or make some processes more efficient, but this is mostly my bad.",
,Graduate Student,Graduate Student,,Biomedical/Health Sciences,,,,,,,,,,,,3+,0-6 months ago,,,,,,,Python,R,,,Unix Shell,,MAKE,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,I had not been using tools like these.,Several times per year.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,"Machine learning  Neural networks and actual applications for them (e.g. gene clustering, WGNA)",Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,"I became more fluent in R and managing my database.  I used to work with the basic R commands, which can be confusing, in the carpentry workshop we learned a library called Tidyverse, which is easier to understand and apply",,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Industry,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,,R,,,,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Weekly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,"Improved coding efficiency, use of markdown ",More advanced automated report building,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,9,"Improved coding efficiency, better report automation ",,
,Graduate Student,,Agricultural or Environmental Sciences,,,,Earth Sciences,,,,,,,,,2,0-6 months ago,,,,,,,Python,R,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,"advanced courses in R,   handling spatial data in R, ",Agree,Neutral,Agree,Disagree,Strongly agree,Neutral,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,10,,,
,Academic Research Staff,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Learning and using git on a regular basis has been a game changer for me.,,,,,,,,,,Subscribed to the newsletter.,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,Joined a committee.,Joined a mentoring group.,,Contributed to a Carpentry lesson.,,Participated in an in-person short course.,,,,Used self-guided Carpentry lesson material.,,,Yes.,10,,,
,Graduate Student,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,Neuroscience,3+,0-6 months ago,,,Git,,,,Python,R,,SQL,Unix Shell,,"One course on working in our local computer cluster, and one on open science",Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,Yes.,"The Carpentry workshops became a springboard for greatly improving my knowledge of R and UNIX, which have been the core tools for data analysis in my master's thesis.","I am now familiar with all the introductory material. If there were courses on data analysis in R, or more advanced courses in R, UNIX (learning regular expressions, awk, sed, etc.), and maybe Python, I would love to come back for more. ",Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,The most important lesson I learned was the value and possibilities offered by learning programming skills. ,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,10,Learned to work with text and text-files through UNIX  Learned how to use git for version control,,
,Academic Research Staff,,,,,,Earth Sciences,,,,,,,,,1,0-6 months ago,,,Git,,,,,,,,,,,,,,,,,,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,Continuous integration,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,,,,Used self-guided Carpentry lesson material.,,,Yes.,8,,,
,Graduate Student,,,Biomedical/Health Sciences,,,,Engineering,,,,,,,,1,More than 1 year ago,,,,,,,Python,,,,Unix Shell,,,,,,,,,,,,,Several times per year.,Several times per year.,I’m more confident now.,,,,,,The UNIX shell commands are helpful in some cases.,No.,,"JavaScript, Python in more detail",Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Neutral,It was inspiring to see the Carpentry community and their mission to teach researchers to code. It also made me more interested to know how people work using Python.,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,I don't remember.,6,,"I was interested to see if I can apply these tools to my work, but it turned out that I could only do that with significant additional effort. Did not have the time to take that effort yet.",
,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,0-6 months ago,,,Git,,,,,R,,,Unix Shell,,,,Developing a data management and analysis plan.,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,,I had not been using tools like these.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,Yes.,"By stating that I'm using codes to manage my data and reproduce my study, I show my competence as a researcher in terms of taking advantage of up-to-date research tools.",Introductory workshops on reproducible study With R in a longer period than just one day.,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,Participated in a semester long course.,,Used non-Carpentry self-guided material.,,Yes.,10,Searched R scripts online (R forums and Github) and used them for Fisher's exact test for categorical data and T test for continuous variables. The codes were saved and reused easily by just a few clicks. ,,
,Graduate Student,,,,,,Earth Sciences,,,,,,,,,1,0-6 months ago,,,,,,,,R,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Less than once per year.,Weekly.,I’m equally confident now.,,They are improving my ability to analyze data.,,,,,No.,,"Working With R-studio on Your own data, I am getting error after error and I dont understand much of it! It should be a workshop in a small Group though! otherwise Your sitting waiting half of the time",Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,I was more motivated to dive into it now that I saw what it could do but I am still lacking skills!,,,,,,,,,,,,,,,,,,I signed up to our email announcements regarding swcarpentry,,,,,,Used non-Carpentry self-guided material.,,Yes.,7,"RStudio is nicer than just Rdata, but its still hard!  I made my own plot but cant get it to work the way I want.",,
,Postdoc,,,,,,,,,,Life Sciences,,,,,2,6 months - 1 year ago,,,Git,,,,Python,R,,,,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,I had not been using tools like these.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,Not sure,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,"By completing the R workshop, I went from not knowing anything, to know enough to handle datasets, and explore graphic and statistical packages that suits my needs, just my consulting the web and a few books. ",,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Postdoc,,Agricultural or Environmental Sciences,,,,,,,,Life Sciences,,,,,3+,0-6 months ago,,,Git,,,,Python,R,,,Unix Shell,,Make ,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Weekly.,I’m equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,,,,,,,,,,,Subscribed to the newsletter.,,Became a workshop helper.,,,,,Contributed to a Carpentry lesson.,,,Participated in an online short course.,,,Used self-guided Carpentry lesson material.,,,Yes.,8,,,
,Other Academic Staff,Engineer,Agricultural or Environmental Sciences,,,Computer Science,Earth Sciences,,,,,,,,,2,More than 1 year ago,,,Git,,,,Python,R,,,Unix Shell,,,,,,,,,,,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,No.,,offer more advanced courses in programming,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Agree,new network with researchers from other disciplines,,,,,,,,,,,,,Became a Carpentry instructor.,,,,Contributed to a Carpentry lesson.,organize other (non Carpentry) workshops for teaching subjects not covered by SWC or DC,,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,Yes.,10,- more confident to promote tools such as git to other researchers  - improve my teaching skills for master students or undergraduate students,I already had most of the skills taught at a Carpentry workshop. SWC and DC are the best approach to teach and share my knowledge to others.,"I use Carpentry lesson template/format for other subjects (not programming) such as climate models, big data, ..."
,Graduate Student,,,,,,,,,,Life Sciences,,,,,2,0-6 months ago,,,,,,,,R,,,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,R and Matlab courses,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,7,Improve my graph skills  Better understanding of R language ,,
,Industry,,,,,,,,Humanities,,,,,,,2,0-6 months ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
