End Date,NewDate,When are you taking this survey?,Will this be your first time attending a Data Carpentry workshop (as a learner)?,Which of the following describes your current status?,Column2,Are you age 18 or above?,"Your department or division (e.g. Microbiology and Molecular Genetics, Environmental Engineering, Sociology, etc):",Your research discipline,Column3,"In three sentences or less, please describe your current field of work or research question.",What operating system is on the computer you are bringing to the workshop?,"Will you be attending the workshop with colleagues, friends, or classmates?","How often to you currently use programming languages (R, Python, etc.) or databases (Access, SQL, etc.)?",What tools do you frequently use to manage and/or analyze data? Check all that apply.,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Do you currently have a dataset that you would like to analyze?,Please enter your level of satisfaction with your current:,Column14,Please rate your level of agreement with the following statements:,Column15,Column16,Column17,Please share what you most hope to learn from attending this workshop.,Does this workshop take place in the United States?,Your age,Your gender,Column18,Race/Ethnicity,Column19
9/25/17 5:00,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/17 14:09,2017-09,I am taking this survey before coming to the workshop,Yes,Post-doc,,Yes,Microbiology,Administration,,,Not sure,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/17 12:01,2017-09,I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/17 18:56,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/17 10:53,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/17 0:18,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/17 15:28,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/17 12:34,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/17 10:50,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/17 9:21,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/17 10:28,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/17 10:27,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/17 10:23,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/17 10:23,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/17 11:21,2017-09,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Post-doc,,Yes,"Agricultural and Biosystems Engineering, ISU","Engineering (civil, mechanical, chemical)",,Animal environmental engineering;  air quality  ,Windows,Yes,Several times a year,,Excel or other spreadsheet program,,,,,,,,,,I do not have data yet.,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,data analysis skills,Yes,25-34,Male,,Asian / Pacific Islander,
9/12/17 10:56,2017-09,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Yes,Education,Other (please specify),Agricultural Extension Education,Farmer's behavior ,Windows,Yes,I have never programmed,,Excel or other spreadsheet program,,,,,,,,,spss,I do not have data yet.,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,R and Python Programing,Yes,25-34,,,Asian / Pacific Islander,
9/12/17 10:21,2017-09,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,Genetics Development and Cell Biology,"Life science (biology, genetics)",,I support students and other collaborator projects,Apple OS,No,Daily,,Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,SQL,,,,,the command line (shell),,,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,new data management techniques,Yes,45-54,Male,,White / Caucasian,
9/12/17 10:12,2017-09,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/17 10:08,2017-09,I am taking this survey before coming to the workshop,Yes,Faculty,,Yes,"Virus and Prion Research Unit, National Animal Disease Center","Life science (biology, genetics)",,Ecology and evolution of infectious diseases.,Apple OS,No,Daily,,Excel or other spreadsheet program,,,R,Python,,,the command line (shell),,,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,"Better data practices (best practices), data management strategies and plans, and current tools in the field for using SQL/databases.",Yes,35-44,Male,,White / Caucasian,
9/12/17 10:05,2017-09,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/17 10:00,2017-09,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,Faculty,,Yes,Technology,"Tech support, lab tech, or support programmer",,Technical Trainer,Windows,No,I have never programmed,,Excel or other spreadsheet program,,,,,,,,,google sheets,I do not have data yet.,Not sure,Not sure,Agree,Neutral,Neutral,Neutral,to be able to reproduce the model,Yes,45-54,Male,,White / Caucasian,
9/12/17 9:38,2017-09,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Faculty,,Yes,"Genetics, Development and Cell Biology","Life science (biology, genetics)",,Role of autophagy in plant responses to environmental stress,Windows,Not sure,I have never programmed,,Excel or other spreadsheet program,,,,,,,,,,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Agree,Neutral,Neutral,data management and organization,Yes,45-54,Female,,White / Caucasian,
9/12/17 9:36,2017-09,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,plant pathology,"Life science (biology, genetics)",,"I am a technician and lab manager for a genetics and plant pathology lab, and as such I manage data collection, clean-up, initial statistics, and preparing figures.  Data sets generally include phenotype and genotype information.  I enjoy using Excel and JMP, but would like to expand to R.   ",Windows,Not sure,I have never programmed,,Excel or other spreadsheet program,,,,,,,,,JMP,"Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Neutral,Neutral,Agree,How to begin using R for data analysis and figure making.  ,Yes,35-44,Female,,White / Caucasian,
9/12/17 9:28,2017-09,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,Graduate Student,,Yes,ig3,"Life science (biology, genetics)",,Perform next-generation sequencing to characterize a special tissue in Drosophila called oenocyte.,Windows,No,Monthly,,Excel or other spreadsheet program,,,R,Python,,,,,,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Agree,Agree,Agree,,Yes,25-34,Female,,Asian / Pacific Islander,
9/12/17 9:25,2017-09,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Yes,Library,Other (please specify),Library,I am one of the science and engineering librarians at ISU,Apple OS,Yes,Not sure,,Excel or other spreadsheet program,,,,,,,,,,I do not have data yet.,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,understanding of data organization and R,Yes,35-44,Female,,White / Caucasian,
9/12/17 9:21,2017-09,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,Agricultural and Biosystems Engineering,Computer science and electrical engineering,,Working with domestic food security and supply chain.,Windows,No,Monthly,,Excel or other spreadsheet program,,SQL,R,,MATLAB,,,,,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,organization and overarching how to use these programs,Yes,25-34,Female,,White / Caucasian,
9/12/17 9:21,2017-09,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,Library,,,,Windows,Yes,Less than once a year,,Excel or other spreadsheet program,,,,,,,,,,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Agree,Agree,Agree,"I hope to learn more about organizing and analyzing data, as well as some programming options.",Yes,25-34,Female,,White / Caucasian,
9/11/17 13:11,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/17 12:21,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/17 11:03,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/17 21:16,2017-09,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/17 10:59,2017-08,I am taking this survey before coming to the workshop,Yes,Post-doc,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,
8/29/17 9:21,2017-08,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/17 4:58,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/17 14:51,2017-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/17 8:00,2017-08,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,Environmental Chemistry,Chemistry,,I study the benefits of chlorine photolysis on drinking water treatment processes,Apple OS,No,Several times a year,,Excel or other spreadsheet program,,,R,Python,,,,,,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,I hope to become familiar with R,Yes,18-24,Female,,White / Caucasian,
8/21/17 22:20,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/17 14:01,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/17 21:43,2017-08,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,N/A,Humanities,,N/A,Not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/17 11:07,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/17 13:30,2017-08,I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/17 12:20,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/17 11:51,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/17 11:46,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/17 11:12,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/17 23:19,2017-08,I am taking this survey before coming to the workshop,Yes,Post-doc,,Yes,Soil Science,"Earth sciences (geology, oceanography, meterorology)",,Soil Science  Machine learning,Windows,No,I have never programmed,,Excel or other spreadsheet program,,,,,,,,,"SAS, Statistix, Genstat, SPSS","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,"Basic statistics with R, machine learning (regression tree and random forests)",Yes,25-34,Male,,Asian / Pacific Islander,
8/16/17 23:06,2017-08,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,Forest and Wildlife Ecology,"Life science (ecology, zoology, botany)",, I use landscape ecology and conservation concepts to understand the role of riparian forest in landscape connectivity for wildlife species.,Apple OS,Not sure,Daily,,Excel or other spreadsheet program,,,R,,,,,,,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,"Data, files and script organization using R",Yes,25-34,Female,,Hispanic or Latino,
8/15/17 17:07,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/17 17:13,2017-08,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,Clinical Psychology,Other (please specify),Clinical Psychology/Addiction,What is the relationship between stress and addiction?,Windows,Yes,Weekly,,Excel or other spreadsheet program,,SQL,R,,,,,,,I am working on generating data.,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,A deeper understanding of how programming can be used and implemented. A deeper understanding of how R and SQL work.,Yes,35-44,Prefer not to say,,Prefer not to say,
8/15/17 14:56,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/17 13:25,2017-08,I am taking this survey before coming to the workshop,Yes,Post-doc,,Yes,Materials Science and Engineering,Physics,,Use computational methods to study the properties of semiconductor materials,Windows,Not sure,Less than once a year,,Excel or other spreadsheet program,,,,,MATLAB,,,,Mathematica,I am working on generating data.,Satisfied,Unsatisfied,Agree,Agree,Agree,Neutral,New tools,Yes,25-34,Male,,Asian / Pacific Islander,
8/14/17 11:44,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/17 11:43,2017-08,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,Forest and Wildlife Ecology,"Life science (ecology, zoology, botany)",,I study California spotted owl diet and population trends to elucidate causes of decline.,Windows,No,Weekly,,Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,,R,,,,,,,I am working on generating data.,Satisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Proficiency with data management and work flow in R,Yes,18-24,Male,,White / Caucasian,
8/14/17 11:09,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/17 15:00,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/17 8:21,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/17 5:58,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/17 12:25,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/17 9:56,2017-08,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,Science & Engineering Libraries,Other (please specify),Library Science,"As a librarian for engineering and computer science, I'm seeking to develop a command of best practices for data management and analysis to support my patrons.",Windows,Not sure,Several times a year,,Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,,,,,,,,,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Neutral,Agree,"Basic competency in managing and analyzing data (i.e., enough expertise to help others with *their* data)",Yes,35-44,Male,,White / Caucasian,
8/7/17 18:02,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/17 12:01,2017-08,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,Post-doc,,Yes,Biological Systems and Engineering ,"Engineering (civil, mechanical, chemical)",,I work on development of automated microfluidic platforms for high-throughput synthetic biology applications. ,Apple OS,Not sure,Several times a year,,Excel or other spreadsheet program,,,,,MATLAB,,,,,I am working on generating data.,Neutral,Neutral,Agree,Agree,Agree,Neutral,"I would like to learn the basic process of data processing that I can utilize by myself, preferably applicable to my current researches as well. ",Yes,25-34,Male,,Asian / Pacific Islander,
8/7/17 9:55,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/17 9:13,2017-08,I am taking this survey before coming to the workshop,,Staff,,Yes,Engineering ,"Engineering (civil, mechanical, chemical)",,Running machine learning algorithms on metagenomic data to maximize  fermentation process output.,Apple OS,No,Weekly,,,,,R,Python,,,the command line (shell),,,I do not have data yet.,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly agree,Neutral,I hope to learn more about data organization.,Yes,35-44,Male,,Prefer not to say,
8/6/17 21:58,2017-08,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,Environmental Science,"Life science (biology, genetics)",,,Apple OS,No,Monthly,,Excel or other spreadsheet program,,,,,,,the command line (shell),,,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Neutral,How to manage the data after its generated.,Yes,25-34,Female,,Hispanic or Latino,
8/1/17 16:37,2017-08,I am taking this survey before coming to the workshop,Yes,Post-doc,,Yes,Environmental Engineering,Physics,,Developing infrared spectroscopy as a tool for biochemical  analysis,Linux,Yes,Several times a year,,Excel or other spreadsheet program,,,,Python,MATLAB,,,,,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,"SQL, R, Genomics database ",Yes,25-34,Male,,Asian / Pacific Islander,
8/1/17 12:11,2017-08,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,Synthetic Biology,"Life science (biology, genetics)",,dna design optimization,Not sure,Yes,Several times a year,,,,SQL,,Python,,,,,,I am working on generating data.,Not sure,Not sure,Agree,Agree,Agree,Agree,n/a,Yes,45-54,Male,,Asian / Pacific Islander,
8/1/17 6:36,2017-08,I am taking this survey before coming to the workshop,Yes,Other (please specify),Post-graduate student & Research Psychology Intern,Yes,Psychology,Humanities,,I am cutrently busy with my masters degree in Research Psychology and is employed at the NWU as the Research Psychology Intern.  ,Windows,Yes,I have never programmed,,Excel or other spreadsheet program,,,,,,,,,,I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,I want to learn all about more effective data management.,No,,,,,
8/1/17 2:23,2017-08,I am taking this survey before coming to the workshop,No,Other (please specify),principle research associate,Yes,"Ecology, Climate and Ecosystem division","Life science (ecology, zoology, botany)",,environmental microbiology. Study environmental microbial community and their impacts on soil nutrients ,Apple OS,Yes,Weekly,,Excel or other spreadsheet program,,,R,,,,,,,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,Agree,Agree,Agree,R interacting with SQL or R interacting with Git,Yes,25-34,Female,,Asian / Pacific Islander,
8/1/17 2:08,2017-08,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/17 19:40,2017-07,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,JGI,Computer science and electrical engineering,,I work as a bioinformatician at the JGI. My main interest is mining big data (in my case thousands of microbiomes) to discover and analyze viruses.,Apple OS,No,Daily,,Excel or other spreadsheet program,,SQL,R,Python,,,the command line (shell),,,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I am a self-taught computer scientist and would like to develop a stronger background in bioinformatics. I hope to understand better some of the basics to continuing improving my computational skills. ,Yes,35-44,Male,,White / Caucasian,
7/31/17 19:27,2017-07,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,Molecular Foundry,"Life science (biology, genetics)",,,Windows,Not sure,Several times a year,,Excel or other spreadsheet program,,,,Python,MATLAB,,,,,I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes,25-34,Male,,Asian / Pacific Islander,
7/31/17 19:05,2017-07,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,BioScience,"Life science (biology, genetics)",,Bioinformatics ,Apple OS,Not sure,Weekly,,,,,,Python,,,,,,I do not have data yet.,Neutral,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Data management. Data visualization and scripting language ,Yes,35-44,Male,,Asian / Pacific Islander,
7/31/17 18:43,2017-07,I am taking this survey before coming to the workshop,Yes,Faculty,,Yes,CRD,Computer science and electrical engineering,,Scientific Data Management ,Apple OS,Not sure,Several times a year,,,,,,,,,the command line (shell),,,I do not have data yet.,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,What the gnome data looks like? How to analyze it. ,Yes,25-34,Male,,Asian / Pacific Islander,
7/31/17 17:29,2017-07,I am taking this survey before coming to the workshop,No,Staff,,Yes,Materials Sciences,"Engineering (civil, mechanical, chemical)",,Research interests include nanofabrication and EUV lithography. ,Apple OS,No,Weekly,,Excel or other spreadsheet program,,,,,MATLAB,,the command line (shell),,,I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,"Specifically wants to learn R (or programming language) for applications in both simulations, data modelling and dynamic monitoring of data.",Yes,25-34,Female,,Asian / Pacific Islander,
7/31/17 14:07,2017-07,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,Information Technology,Computer science and electrical engineering,,Team Lead for IT Workstation Support Group,Apple OS,Yes,I have never programmed,,Excel or other spreadsheet program,,,,,,,,,,I do not have data yet.,Not applicable,Not applicable,Agree,Agree,Agree,Neutral,Obtain a perspective of how data management and analysis impacts what our scientists do. Goal is to get a better understanding to then in turn see if there are solutions we can provide to support the science mission at the Lab,Yes,55-64,Female,,White / Caucasian,
7/31/17 14:00,2017-07,I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/17 10:08,2017-07,I am taking this survey before coming to the workshop,Yes,Industry,,Yes,Human Resources,Humanities,,Training and Development - Employability,Windows,Yes,I have never programmed,,Excel or other spreadsheet program,,,,,,,,,,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Neutral,Neutral,Learning what DH is about and how this might apply to what I do,No,,,,,
7/31/17 3:51,2017-07,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,Environmental Sciences ,Other (please specify),Disaster Risk Management ,�ۢ	What are the theoretical perspectives on adaptation to natural hazards?  �ۢ	What are the theoretical perspectives on social learning (intergenerational information transfer)?  �ۢ	What adaptation methods/strategies have been or are used by different generations in Kasane village to adapt to natural hazards?  ,Windows,Yes,Daily,,Excel or other spreadsheet program,FileMaker Pro or Microsoft Access,SQL,,Python,,,,,ArcGIS,I am working on generating data.,Very satisfied,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,How to adequately collect data chronologically so that interpreting it is much simpler and easily done ,Yes,18-24,Female,,Black or African American,
7/31/17 2:51,2017-07,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,Library Services,Humanities,,General research support,Windows,Not sure,I have never programmed,,,,,,,,,,,,I do not have data yet.,Not applicable,Not applicable,Strongly agree,Neutral,Neutral,Neutral,Learning different types of data and understanding data management and analysis in order to support researchers in all fields of study,No,,,,,
7/31/17 1:42,2017-07,I am taking this survey before coming to the workshop,Yes,Staff,,Yes,Library Services,Humanities,,I am a Faculty Librarian: Education Sciences at NWU Potchefstroom. Currently part of the library's task team to develop our DH capabilities.,Windows,Yes,Several times a year,,Excel or other spreadsheet program,,,,,,,,,,I do not have data yet.,Not applicable,Not applicable,,Strongly agree,Strongly agree,Strongly agree,To further enhance my understanding of programmable data for future DH projects that Library Services intends to undertake.,No,,,,,
7/28/17 20:15,2017-07,I am taking this survey before coming to the workshop,Yes,Graduate Student,,Yes,Biology,"Life science (biology, genetics)",,"I am interested in soil microbial communities and how they are influenced by and drive global carbon cycling through positive feedback mechanisms. By taking an organismal-centered approach to understanding ecosystems, using genomics and multi-omics applications, we will be better equipped to construct meaningful global ecosystem models. ",Linux,No,Several times a year,,Excel or other spreadsheet program,,,R,Python,,,the command line (shell),,,I am working on generating data.,Unsatisfied,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,"I hope to gain experience with managing larger datasets using command line and languages that are commonly applied in genomics. Generating a large dataset is overwhelming, and I'd like to improve my ability to manipulate and analyze such datasets.",Yes,25-34,Female,,White / Caucasian,
7/28/17 16:58,2017-07,I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),No,Graduate Student,,Yes,Chemistry,Chemistry,,Chemometrics,Windows,No,Less than once a year,,Excel or other spreadsheet program,,,,,MATLAB,,,,Omnic,"Yes, I have data but I haven't started analyzing it yet.",Not sure,Not sure,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,Yes,25-34,Female,,,
