Workshop,ID,ToolCovered,RawData,WriteProgram,TechnicalQuestions,OvercomeProblem,ConfidenceSoftware,ProgrammingEasier,ImmediatelyApply,ComfortableLearning,ConfidentProgramming,ProgrammingEfficient,AccessibilityIssues,InstructorsClear,InstructorsEnthusiastic,InstructorsComfortable,InstructorsKnowledgeable,Recommend,Country
Genomics,2haben,Neither,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Netherlands
Genomics,1pihan,Neither,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,85,Netherlands
I don’t know.,2amCar,Neither,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,No,Strongly agree,Strongly agree,Agree,Strongly agree,86,Netherlands
Genomics,1liwei,Neither,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,No,Agree,Agree,Agree,Agree,75,Netherlands
Genomics,2lyams,Neither,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Agree,Yes,Strongly agree,Agree,Agree,Agree,100,Netherlands
Genomics,2amalb,Neither,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Agree,Strongly agree,Agree,80,Netherlands
,,,,,,,,,,,,,,,,,,,United Kingdom
Genomics,2kasoh,Neither,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,No,Strongly agree,Strongly agree,Agree,Strongly agree,99,United States of America
Genomics,2qutay,Neither,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Genomics,3wioxf,Neither,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,No,Neutral,Neutral,Agree,Agree,77,United States of America
I don’t know.,1stnor,Neither,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90,United States of America
Genomics,,Neither,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,,Neutral,Agree,Agree,Agree,61,United States of America
Genomics,3edbre,Neither,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Genomics,1pauni,I don't know./I don't remember.,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Genomics,1anrut,Neither,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,92,United States of America
Genomics,1eajan,Neither,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,No,Agree,Agree,Agree,Agree,69,United States of America
Genomics,0lwced,Neither,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Genomics,0susou,Neither,,,,,,,,,,,,,,,,,
Genomics,2brang,Neither,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,No,Agree,Agree,Agree,Agree,90,United States of America
Genomics,2neade,Neither,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Social Sciences,7nenad,Python,,,,,,,,,,,,,,,,,
Genomics,,R,,,,,,,,,,,,,,,,,Albania
Genomics,,,,,,,,,,,,,,,,,,,Albania
Ecology,,,,,,,,,,,,,,,,,,,
Ecology,,,,,,,,,,,,,,,,,,,
Ecology,2be9th,R,Agree,Neutral,,,,Agree,Agree,Agree,Neutral,Neutral,No,Agree,Agree,Agree,Agree,79,South Africa
Genomics,2usgfe,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,94,Switzerland
Ecology,,,,,,,,,,,,,,,,,,,
Ecology,,,,,,,,,,,,,,,,,,,
Ecology,1negwa,R,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Switzerland
Ecology,1ukgys,R,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Switzerland
Ecology,1belim,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Switzerland
Genomics,3gehal,R,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,78,Switzerland
Genomics,,,,,,,,,,,,,,,,,,,
Genomics,1atseg,R,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,Switzerland
Genomics,0fihal,R,Strongly agree,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,Switzerland
Genomics,0pamus,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70,Switzerland
Genomics,2befos,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Switzerland
Genomics,1mabru,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Agree,Strongly agree,Agree,100,Switzerland
I don’t know.,2vobra,R,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,No,Agree,Strongly agree,Strongly agree,Strongly agree,70,South Africa
Ecology,4camoz,R,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,No,Neutral,Agree,Agree,Neutral,80,South Africa
Ecology,5upbea,R,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,2befos,R,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Switzerland
I don’t know.,,Python,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,Yes,Agree,Agree,Strongly agree,Agree,20,Ethiopia
Ecology,2siwuh,R,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,88,Switzerland
Ecology,2rehau,R,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,No,Agree,Strongly agree,Agree,Strongly agree,87,Switzerland
Ecology,1arwal,R,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Switzerland
Ecology,0dreic,R,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,No,Agree,Agree,Agree,Strongly agree,92,Switzerland
Ecology,1hemur,R,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Neutral,Strongly agree,Agree,Agree,64,Switzerland
Reproducible Research,3THSCH,R,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,85,Switzerland
Ecology,3soste,R,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,No,Agree,Agree,Agree,Agree,75,South Africa
Ecology,1duhen,R,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,No,Agree,Agree,Agree,Agree,85,South Africa
Ecology,3blmer,R,Agree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
I don’t know.,1pltan,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Yes,Neutral,Strongly agree,Strongly agree,Strongly agree,80,South Africa
I don’t know.,2ctlym,R,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,No,Agree,Strongly agree,Strongly agree,Agree,65,South Africa
Ecology,1hestb,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80,South Africa
Ecology,7madon,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,No,Neutral,Agree,Agree,Agree,75,South Africa
Ecology,mokle4,R,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,,Neutral,Strongly agree,No,Agree,Strongly agree,Agree,Strongly agree,72,South Africa
Ecology,1vivoo,R,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,1kileg,R,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,4alkam,R,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,7limer,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,9naste,R,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,6kaluc,R,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,3ramer,R,Strongly agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,No,Agree,Agree,Agree,Agree,79,South Africa
Ecology,4paric,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,No,Agree,Strongly agree,,Strongly agree,75,South Africa
Ecology,1CLSTE,R,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,6CAARM,R,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,No,Agree,Agree,Agree,Agree,50,South Africa
Ecology,0ousan,R,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,No,Agree,Strongly agree,Agree,Strongly agree,85,South Africa
I don’t know.,2eldeb,R,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,No,Agree,Strongly agree,Agree,Agree,100,South Africa
I don’t know.,2vobra,R,,,,,,,,,,,,,,,,,
I don’t know.,8coste,R,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,3cakle,R,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,No,Agree,Agree,Agree,Agree,79,South Africa
I don’t know.,1blbra,R,Strongly agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,No,Agree,Neutral,Neutral,Neutral,80,South Africa
Ecology,7kemer,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,0catob,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,Agree,98,South Africa
Ecology,4cejig,R,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,No,Agree,Strongly agree,Strongly agree,Agree,100,South Africa
Ecology,1capre,R,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,No,Strongly agree,Strongly agree,Agree,Strongly agree,100,South Africa
Ecology,2keble,R,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Disagree,Neutral,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,77,South Africa
Reproducible Research,0adara,R,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,99,Ethiopia
Ecology,,,,,,,,,,,,,,,,,,,
Ecology,0bdddu,R,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90,Ethiopia
Ecology,1salag,Python,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,Agree,Agree,Agree,Agree,,United States of America
Genomics,8pogba,R,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Ecology,2tewil,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Reproducible Research,,,,,,,,,,,,,,,,,,,Ethiopia
Ecology,0adgha,R,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Ethiopia
Social Sciences,,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,99,Ethiopia
Ecology,,R,,,,,,,,,,,,,,,,,Ethiopia
Reproducible Research,4Stald,Python,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,No,Agree,Strongly agree,Strongly agree,Agree,93,United States of America
Ecology,1xenin,R,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
,2APUNW,R,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Genomics,,,,,,,,,,,,,,,,,,,
Ecology,2PANWN,R,Strongly agree,Strongly agree,Agree,Agree,,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,6weply,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,96,United States of America
Ecology,2sa260,R,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Agree,Agree,90,United States of America
Ecology,2FAELM,R,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,75,United States of America
Ecology,0detwe,R,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,,,,,,,,,,,,,,,,,,,
Ecology,4nethi,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,No,Agree,Strongly agree,Strongly agree,Strongly agree,93,United States of America
,,R,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Agree,Strongly agree,,Agree,95,United States of America
I don’t know.,,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,89,United States of America
Ecology,2chtwe,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,98,United States of America
Ecology,2moarc,R,,,,,,,,,,,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,95,United States of America
Genomics,2tzban,R,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,100,South Africa
Genomics,1gephe,R,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,No,Agree,Agree,Agree,Strongly agree,100,South Africa
Genomics,2blchr,R,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Genomics,0polok,R,,Agree,Neutral,Neutral,Agree,,,,,Strongly agree,No,Agree,Agree,Strongly agree,Agree,70,South Africa
Reproducible Research,1capot,R,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Agree,Strongly agree,100,South Africa
I don’t know.,,Python,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Neutral,Agree,Agree,Agree,57,United States of America
Genomics,7xixik,Python,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,,Strongly agree,Agree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,South Africa
Social Sciences,4crsmd,Python,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,Agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
,1tesan,Python,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,2famst,Python,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,85,United States of America
Ecology,2seque,Python,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Agree,95,United States of America
Ecology,3alari,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,3tasan,Python,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,No,Agree,Agree,Agree,Strongly agree,100,United States of America
Ecology,4tuwes,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,,Python,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,Bahamas
Ecology,1magst,Python,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90,United States of America
Ecology,3kiska,Python,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Agree,Strongly agree,Agree,Neutral,80,United States of America
Ecology,2brbue,Python,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90,United States of America
Ecology,3beoli,Python,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,65,United States of America
Ecology,2wileh,Python,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,No,Agree,Strongly agree,Strongly agree,Agree,90,United States of America
Reproducible Research,1Libec,Python,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,No,Agree,Agree,Agree,Agree,,United States of America
Ecology,6fenor,Python,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,No,Agree,Agree,Agree,Agree,65,United States of America
Ecology,1mejoe,Python,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,Strongly agree,99,United States of America
Ecology,0sabak,Python,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
Ecology,2marog,Python,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,United States of America
I don’t know.,4hubla,Python,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Yes,Agree,Agree,Agree,Agree,100,United States of America
Genomics,4iblen,R,,,,,,,,,,,,,,,,,
Ecology,gggggh,R,,,,,,,,,,,,,,,,,Ethiopia
Genomics,1lemas,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,No,Agree,Strongly agree,Agree,Agree,100,South Africa
Genomics,,,,,,,,,,,,,,,,,,,
Genomics,,,,,,,,,,,,,,,,,,,
I don’t know.,0lejer,Python,Agree,Disagree,Agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Strongly disagree,Neutral,No,Agree,Agree,Agree,Agree,60,United Kingdom
Genomics,4kiklo,R,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,No,Agree,Strongly agree,Agree,Agree,100,South Africa
