Year,Month,Workshop,UniqueID,ProgrammingLanguage,RawData,WriteProgram,SearchOnline,OvercomeProblem,ProgrammingSoftware,AnalysesEasier,ImmediatelyApply,Comfortable,WorkWithData,ProgrammingEfficient,WorkshopStrengths,WorkshopImprovements,AccessibilityIssues,AccessibilityResponse,InstructorsClearAnswers,InstructorsEnthusiastic,InstructorsInteracting,InstructorsKnowledgeable,InstructorsOpenEnded,LikelyToRecommend,Country
2017,12,I don't know.,1stnor,Neither,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Clarity of information available and help troubleshooting,Reference list of commonly used flags available beforehand ,Yes,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Jenn gave me extra resources to help learning coding and also gave me advice on how to move forward to incorporate coding into my future,90,United States of America
2017,12,Genomics,,Neither,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,,,,,Neutral,Agree,Agree,Agree,,61,United States of America
2017,12,Genomics,3edbre,Neither,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,very clear and easy to follow  repeating explanations throughout workshop is key,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
2017,12,Genomics,1pauni,I don't know./I don't remember.,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Agree,Exercises and challenges,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
2017,12,Genomics,1anrut,Neither,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,92,United States of America
2017,12,Genomics,1eajan,Neither,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,,No,,Agree,Agree,Agree,Agree,,69,United States of America
2017,12,Genomics,0lwced,Neither,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,"Great workshop, very well designed lecture and very helpful hands on training.",Hope it can be longer than 2 days for us to learn more.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The instructor won't left anybody in trouble behind. Can help me to do troubleshooting almost immediately.,100,United States of America
2017,12,Genomics,0susou,Neither,,,,,,,,,,,,,,,,,,,,,
2017,12,Genomics,2brang,Neither,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,"group size was small enough to get individual help when needed, but large enough for working to solve issues in small groups! interactive format was also very good.",A preview document with basic commands would be nice to review beforehand and have on hand when working. ,No,,Agree,Agree,Agree,Agree,,90,United States of America
2017,12,Genomics,2neade,Neither,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Strongly agree,Hands-on working with the datasets,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
2017,12,Social Sciences,7nenad,Python,,,,,,,,,,,"Video provides a powerful way to help you prove your point. When you click Online Video, you can paste in the embed code for the video you want to add. You can also type a keyword to search online for the video that best fits your document. To make your document look professionally produced, Word provides header, footer, cover page, and text box designs that complement each other. For example, you can add a matching cover page, header, and sidebar. Click Insert and then choose the elements you want from the different galleries. Themes and styles also help keep your document coordinated. When you click Design and choose a new Theme, the pictures, charts, and SmartArt graphics change to match your new theme. When you apply styles, your headings change to match the new theme. Save time in Word with new buttons that show up where you need them.  To change the way a picture fits in your document, click it and a button for layout options appears next to it. When you work on a table, click where you want to add a row or a column, and then click the plus sign. Reading is easier, too, in the new Reading view. You can collapse parts of the document and focus on the text you want. If you need to stop reading before you reach the end, Word remembers where you left off - even on another device. Video provides a powerful way to help you prove your point. When you click Online Video, you can paste in the embed code for the video you want to add. You can also type a keyword to search online for the video that best fits your document. To make your document look professionally produced, Word provides header, footer, cover page, and text box designs that complement each other. For example, you can add a matching cover page, header, and sidebar.  Click Insert and then choose the elements you want from the different galleries. Themes and styles also help keep your document coordinated. When you click Design and choose a new Theme, the pictures, charts, and SmartArt graphics change to match your new theme. When you apply styles, your headings change to match the new theme. Save time in Word with new buttons that show up where you need them. To change the way a picture fits in your document, click it and a button for layout options appears next to it. When you work on a table, click where you want to add a row or a column, and then click the plus sign. Reading is easier, too, in the new Reading view. You can collapse parts of the document and focus on the text you want. If you need to stop reading before you reach the end, Word remembers where you left off - even on another device.  ",,,,,,,,,,
2017,12,Genomics,,R,,,,,,,,,,,,,,,,,,,,,Albania
2017,11,Genomics,,,,,,,,,,,,,,,,,,,,,,,Albania
2017,11,Ecology,,,,,,,,,,,,,,,,,,,,,,,
2017,11,Ecology,,,,,,,,,,,,,,,,,,,,,,,
2017,11,Ecology,2be9th,R,Agree,Neutral,,,,Agree,Agree,Agree,Neutral,Neutral,practical examples  learn on the go  ongoing assistance,smaller class groups,No,,Agree,Agree,Agree,Agree,,79,South Africa
2017,11,Genomics,2usgfe,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Was perfect speed and level for me  gave more confidence with skripting approaches ,,No,,Agree,Strongly agree,Strongly agree,Strongly agree,,94,Switzerland
2017,11,Ecology,,,,,,,,,,,,,,,,,,,,,,,
2017,11,Ecology,,,,,,,,,,,,,,,,,,,,,,,
2017,11,Ecology,1negwa,R,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,"atmosphere, pace",assume slightly higher level of previous knowledge,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,All were able to fluently address all questions.,100,Switzerland
2017,11,Ecology,1ukgys,R,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Switzerland
2017,11,Ecology,1belim,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Flexibility to respond to participants needs,better location,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,All specific questions were answered by solving the problem in the plenary right away. This is super helpful.,100,Switzerland
2017,11,Genomics,3gehal,R,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,"low number of students, good schedule ",maybe improve the part about the use of R,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,78,Switzerland
2017,11,Genomics,,,,,,,,,,,,,,,,,,,,,,,
2017,11,Genomics,1atseg,R,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,The fact that the teachers were in the same area and at similar levels ie. PhD and postdoc meant they could better understand what we might need  it was well thought out  ,,No,,Agree,Strongly agree,Strongly agree,Strongly agree,,100,Switzerland
2017,11,Genomics,0fihal,R,Strongly agree,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,"small group of participants, exercise step by step, three tutors that could help every moment, friendly atmosphere ","a little bit more focused at the genomic level. it could me nice to work with NGS data or a list of genes.  2,5 days are not enough. I would stay longer and learn more because the topic was perfectly fitting with my goals.",No,,Agree,Strongly agree,Strongly agree,Strongly agree,,100,Switzerland
2017,11,Genomics,0pamus,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Good pace and learned how to use very interesting tools.,"The course was more a basic R course than a ""genomic course"". I was actually interested in understanding how to show my NGS data.",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,70,Switzerland
2017,11,Genomics,2befos,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,small group and practical oriented programm,-,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,R notepad,100,Switzerland
2017,11,Genomics,1mabru,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,small groups  speed of teaching good  very interactive,,No,,Strongly agree,Agree,Strongly agree,Agree,,100,Switzerland
2017,11,I don't know.,2vobra,R,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,,"For me that knew knowing about programming it was really a fast pace to keep up with. I could sometimes not see on the screen whether it is a , or ! ect. The presenter was good but she assumed that we know something about programming. People who are allowed to do this workshop must be more or less on the same level regarding a basic knowledge of these kind or programmes. ",No,,Agree,Strongly agree,Strongly agree,Strongly agree,They were always helpful and calm. I never felt that they were irritated when one of them helped me,70,South Africa
2017,11,Ecology,4camoz,R,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,"The introduction to OpenRefine was very good and I will definitely use that more than R.     Although I do have a few comments for improvement, the workshop was all-in-all very good and I learned a lot.    ","Not all presenters were at a high standard. If someone asks a question and the answer is: ""This is not in the lesson plan, I don't know"" then I think the presenter does not really know the programme very well and only presents everything exactly as it is in the lesson plan.    Sometimes the pace was extremely slow and sometimes again too quick without any reference to what we are actually doing to try to understand the code. Often we only copied what the presenter did without understanding. My colleague next to me then started to ask the assistants the meaning of certain coding languages, as the presenter did not explain it. Since most participants have never worked with R , this type of context while you learn is extremely important.",No,,Neutral,Agree,Agree,Neutral,"The helpers (assistants) was very good, we could ask them anything. Ian van der Linde was also excellent. He often added something while others presented, to give more context or further explanation.",80,South Africa
2017,11,Ecology,5upbea,R,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Patient presenters and helpers. ,"A bit more context before starting R programming, but otherwise, excellent.",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,South Africa
2017,11,Ecology,2befos,R,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Good and competent teachers,  nice atmosphere (place+inside group), interesting program",-,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Problem was quickly solved with hands on,100,Switzerland
2017,11,I don't know.,,Python,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,the workshop is very youthful,it better if the workshop day is maximized to one week,Yes,internet problem,Agree,Agree,Strongly agree,Agree,there are very interactive with the trainers,20,Ethiopia
2017,11,Ecology,2siwuh,R,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,"the interactive and useful way R is taught (I attended to several introduction to R, it has never been that useful), I was also very happy to discover knit that I will likely use in the future","avoiding spending to much time on excel problems, proposing longer exercices with a workflow that cover all what we learned  (not only the last command), a practical like that could better represent situations of our daily work",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,88,Switzerland
2017,11,Ecology,2rehau,R,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,,,No,,Agree,Strongly agree,Agree,Strongly agree,,87,Switzerland
2017,11,Ecology,1arwal,R,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,"Direct typing exercises on own notebook  the great teachers, with excellent R knowledge  ","Shorten the introduction on excel, this is way too basic.  could show bad examples and present the solutions in one hour, but not half a day.  ",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,they answered all our questions and showed how to address these in R,100,Switzerland
2017,11,Ecology,0dreic,R,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,nice atmosphere  nice overview of new methods and things  insight into how to deal with data,Little more Differentiation between more and less advanced students. Extra Tasks for faster students for example. This way slower students have the time to catch up but dont miss new things.   More challenges to actually use with what we learned.   More interaction. ,No,,Agree,Agree,Agree,Strongly agree,,92,Switzerland
2017,11,Ecology,1hemur,R,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,variety of topics covered,some aims could have been more clear,No,,Neutral,Strongly agree,Agree,Agree,individual help if struggle loading pcakages,64,Switzerland
2017,11,Reproducible Research,3THSCH,R,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,learning by doing,bringing your own messy data,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,85,Switzerland
2017,11,Ecology,3soste,R,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,"Good venue, organisation.",,No,,Agree,Agree,Agree,Agree,,75,South Africa
2017,11,Ecology,1duhen,R,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,"number of instructors, doing it on our own computer",,No,,Agree,Agree,Agree,Agree,they were extremely helpful and good with trouble shooting,85,South Africa
2017,11,Ecology,3blmer,R,Agree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Strongly agree,The knowledge that is imparted is extremely important and needs to be known by researchers. It is very good to see people taking their time to actually impart such skills. The technical aspects relating to the software are covered in a detailed manner and this is very good. The use of a number of assistants is a huge bonus as well. The use of knowlegeable presenters and assistants is big strength as well. ,The workshops need to be spread over more days. The content was compressed into a 2.5 day period and this was just not sufficient. As a result the presenter (for R in partcular) therefore had to rush through the material. I believe that this was not conducive for learning purposes. Although there were helpers to assist people it was impossible to catch up after falling behind because the lesson would continue whilst the 'slow people' were still being assisted. So the idea of having people complete tasks whilst simultaneously following the lesson should probably be changed - unless the workshop is spread out over more days. ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The helpers assisted me on multiple occasions very graciously without any complaints. They were super polite and professional throughout the entire period.,100,South Africa
2017,11,I don't know.,1pltan,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,presenter was outgoing and patient,go slower but also need more time,Yes,the pc could not handle the prgram,Neutral,Strongly agree,Strongly agree,Strongly agree,found my mistakes and corrected it for the one could not work with out the other/previous code.,80,South Africa
2017,11,I don't know.,2ctlym,R,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,"Openrefine is useful. Session was presented well, all aspects of the lesson was clear. ","Relating to R:I am glad there are notes, thank you - but without those I would not know how to do any of the work we were taught. I am not sure how this can be improved.",No,,Agree,Strongly agree,Strongly agree,Agree,,65,South Africa
2017,11,Ecology,1hestb,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,"pace was good, help was always there, eposure to what can be","Obviously a longer workshop would give more time, explaining for Rstudios the applications by examples.",Yes,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Pointing out the importance of accuracy  Using previous mistakes e.g. survey vs surveys and working with it  ""getwd""",80,South Africa
2017,11,Ecology,7madon,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Provided skills relevant to the current demands of the information and  data processing ecosystem,More time for facilitation of programmes like R,No,,Neutral,Agree,Agree,Agree,They tried their best to provide as much information to the participants,75,South Africa
2017,11,Ecology,mokle4,R,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,,Neutral,Strongly agree,"multiple facilitators,knowledgeable facilitators",split the participants according to the levels of expertise. I think participants with more knowledge felt the pace was to slow.  Follow up info/session would be great as to not be a waste /loss of knowledge ,No,,Agree,Strongly agree,Agree,Strongly agree,"Amy, Angelique and John and Ian was verfy helpful.I could at any point asked and helped. OpenRefine was very interesting as well as RStudio",72,South Africa
2017,11,Ecology,1vivoo,R,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,"It actually was a lot of fun, very useful intro for beginners in this sort of data management! I liked the vibe of the workshop and the ""sticky"" idea... Great instructors :)","If the workshop was a bit longer, it would be nice to have an intro session for R terms and functions etc. such as was done in OpenRefine. The pace should also not be too quick in R sessions, so that beginners don't get lost or forget what the idea behind the coding was...",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,They made things clear for me when I asked questions or got stuck... The environment is conducive for asking questions and speaking up when you when you are wondering about something...,100,South Africa
2017,11,Ecology,1kileg,R,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly agree,,Pace should be reduced to encourage more learning and understanding.,No,,Agree,Strongly agree,Strongly agree,Strongly agree,Instructor was way too fast at times and I ended up just doing things instead of learning what the actually mean or how they work. Really felt lost at times.,100,South Africa
2017,11,Ecology,4alkam,R,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,,"go through basics of R - longer workshop just on R, but distinguish between true beginners and those that have some experience.",No,,Agree,Strongly agree,Strongly agree,Strongly agree,,100,South Africa
2017,11,Ecology,7limer,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,1. Hands on  2. Full time assistance  3. relaxed atmosphere,1. Perhaps more prior reading materials to those willing  2. Perhaps follow up workshop,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Looked at my code and pointed out the error in it. This was cool,100,South Africa
2017,11,Ecology,9naste,R,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,South Africa
2017,11,Ecology,6kaluc,R,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very informative  excellent presentation  Good workshop organisation  Good time management  Learner friendly,Provide alternative refreshments to coffee,No,,Agree,Strongly agree,Strongly agree,Strongly agree,,100,South Africa
