Start Date,End Date,ID,Domain,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Status,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,OS,Programming-Usage,Data-Satisfaction,Why-Attending,Column23,Column24,Column25,Column26,Exposure-Workshop,Column27,Column28,Column29,Column30,Column31,Column32,Language-Covered,Spreadsheet-Rules-R,Column33,Column34,Column35,Column36,Data-Structure-R,Read-Data-R,Read-Data-Reasoning-R,Check-Data-R,Column37,Column38,Column39,Plotting-R,Plotting-Reasoning-R,Column40,Column41,Column42,Spreadsheet-Rules-Python,Column43,Column44,Column45,Column46,Data-Structure-Python,Read-Data-Python,Read-Data-Reasoning-Python,Check-Data-Python,Column47,Column48,Column49,Plotting-Python,Plotting-Reasoning-Python,Column50,Column51,Column52,Raw-Data,Write-Program,Search-Answers,Overcome-Problem,Programming-Confidence,Programming-Reproducible,Hope-To-Learn
10/19/2017 03:47:11 AM,10/19/2017 04:02:52 AM,0arcre,,,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,Windows,I have never used these tools,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,My friend/colleague told me about it,,I don't know/I don't remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Disagree,Disagree,Neutral,
10/19/2017 03:30:44 AM,10/19/2017 03:55:30 AM,2tzban,Agricultural or Environmental Sciences,,,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,Windows,I have never used these tools,Unsatisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,I hope to learn how to make use of the R programming in effort to achieve better analyses  of the results in my research work
10/19/2017 03:25:23 AM,10/19/2017 04:12:49 AM,7xixik,,,,,,,,,,,,,,Biology,,Graduate Student,,,,,,,,Windows,I have never used these tools,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,As a requirement for my program/current position,,,,,,My advisor/supervisor told me about it,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,"use of QIIME for 16s data analysis, The use of R for 16S visualisation"
10/19/2017 03:16:38 AM,10/20/2017 07:25:42 AM,2pkmmb,,,,,Computer Science,,,,,,,,,,,,,,,,Research Staff,,,Windows,Several times a year,Unsatisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2017 03:11:58 AM,10/19/2017 03:23:27 AM,2cabur,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,,,,,,,,,,,,Research Staff,,,GNU/Linux,Several times a year,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,R,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Using R for data processing and visualization
10/19/2017 03:08:56 AM,10/19/2017 03:54:51 AM,1usgfe,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,Apple/Mac OS,Several times a year,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,Other web site,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,"Place comments alongside data values within a single cell, so they don’t get separated.",None of the tables above improve the structure of the data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,,,,Disagree,Strongly agree,I hope to gain an overview on the most efficient approaches to genetic datasets and to build up a background that will allow  me to improve those skills independently in future.
10/18/2017 09:16:30 AM,10/18/2017 09:28:28 AM,2gehal,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,,,,,,,,Postdoctoral Researcher,,,,,,,Windows,Several times a year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,"Place comments alongside data values within a single cell, so they don’t get separated.",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Neutral,Agree,Agree,"usage of R for basic plotting charts, statistical analysis and exploiting existing packages"
10/17/2017 04:26:53 PM,10/17/2017 04:49:13 PM,1negwa,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,Windows,Several times a year,Neutral,To learn skills that I can apply to my current work,,,,,,Read about it in a newsletter or university web site,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,B,"D: contacts <- read.table(“data.txt”, header = TRUE, sep = “,”)","will NOT work, the data isn’t a csv file",Use the str() function to see information about the data.,Use the head() function to see the last few lines of the data.,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"D: ggplot(df, aes(x, y)) + geom_point()",,"will NOT work, you need to specify the type of plot that you want.",,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Neutral,Agree,
10/17/2017 02:30:51 PM,10/17/2017 02:30:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2017 01:38:06 PM,10/17/2017 01:48:24 PM,4wi16t,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,,,Faculty,,,,,,Apple/Mac OS,Several times a year,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,to be better able to encourage effective data management in my lab,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,B,A: contacts <- read.csv(“data.txt”),"will work, the data is a csv file with headers",Use the str() function to see information about the data.,,,,A: ggplot <- df,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Familiarity. I need repetition and do not make time unless I go to these...
10/16/2017 08:42:32 AM,10/16/2017 08:48:24 AM,1frall,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,Research Staff,,,Windows,Weekly,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,C,"Options A, B and D will all work.","will work, the data is a csv file with headers",Use the str() function to see information about the data.,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"D: ggplot(df, aes(x, y)) + geom_point()",,"will NOT work, you need to specify the type of plot that you want.",,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Neutral,Agree,Agree,
10/16/2017 07:58:16 AM,10/16/2017 08:07:55 AM,0pamul,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,Apple/Mac OS,Several times a year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,C,A: contacts <- read.csv(“data.txt”),"will work, the data is a csv file with headers",,,Type the name of the data frame to display the whole dataset.,,"D: ggplot(df, aes(x, y)) + geom_point()","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,
10/16/2017 07:33:34 AM,10/16/2017 07:50:09 AM,2gifos,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,,,,,,,Graduate Student,,,,,,,,GNU/Linux,Daily,Satisfied,To learn skills that I can apply to my current work,,,,,,,,,,My friend/colleague told me about it,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,B,"Options A, B and D will all work.","will work, the data is a csv file with headers",Use the str() function to see information about the data.,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,None of the above will work.,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Not use R for the always same dataset like planes or cars but use more bioconductor or readLines functions (mfasta files as input)
10/13/2017 05:22:41 AM,10/13/2017 05:25:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2017 11:25:06 AM,10/12/2017 11:29:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2017 03:30:29 PM,10/11/2017 03:46:16 PM,2chtwe,,,,,,Earth Sciences,,,,Life Sciences,,,,,,,Postdoctoral Researcher,,,,,,,Windows,Daily,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,,"Place comments alongside data values within a single cell, so they don’t get separated.",B,"D: contacts <- read.table(“data.txt”, header = TRUE, sep = “,”)","will NOT work, you need to specify options for all parameters to a function",Use the str() function to see information about the data.,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,tools to make data management easier and less time-consuming.
10/10/2017 12:44:08 PM,10/10/2017 12:44:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2017 12:01:17 PM,10/09/2017 12:01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2017 10:59:07 AM,10/03/2017 11:04:28 AM,2anbro,,,,,,,,,Library Sciences,,,,,,,,,Faculty,,,,,,Apple/Mac OS,Less than once a year,Neutral,To learn skills that I can apply to my current work,,,,,,,,,,My friend/colleague told me about it,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2017 04:48:24 AM,10/03/2017 05:01:15 AM,1cowod,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,,Graduate Student,,,,,,,,Apple/Mac OS,Several times a year,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,B,C: contacts <- read.table(“data.txt”),"will NOT work, the data isn’t a csv file",,Use the head() function to see the last few lines of the data.,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,None of the above will work.,,"will NOT work, you need to specify the type of plot that you want.",,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,
10/03/2017 01:00:34 AM,10/03/2017 01:08:14 AM,3lopin,,,,,,,,,,,,,,Education,,,,,,,,Other Staff,,Apple/Mac OS,Daily,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,,,B,A: contacts <- read.csv(“data.txt”),,,,Type the name of the data frame to display the whole dataset.,,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Learn R and improve on SQL
10/02/2017 11:04:58 PM,10/02/2017 11:23:19 PM,3ne13t,,,,,,,,,,,,,,Epidemiology,,,,,,,,,Administrator,Windows,Monthly,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,"Place comments alongside data values within a single cell, so they don’t get separated.",C,"B: contacts <- read.csv(“data.txt”, header = TRUE, sep = “,”)","will NOT work, you need to specify options for all parameters to a function",,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Basic orientation to R 
10/02/2017 06:25:05 PM,10/02/2017 07:21:42 PM,1chrid,,,,,,,,,,Life Sciences,,,,,,,,,,Government Employee,,,,Windows,Daily,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,To better understand how these tools are used in the broader data management community.,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,B,"B: contacts <- read.csv(“data.txt”, header = TRUE, sep = “,”)","will NOT work, the data isn’t a csv file",,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"D: ggplot(df, aes(x, y)) + geom_point()",,"will NOT work, you need to specify the type of plot that you want.",,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Strongly agree,Better understanding of current state of how R and SQL are used in the broader data management community.
10/02/2017 03:54:15 PM,10/02/2017 04:17:01 PM,1sh500,,,,,,,,,,Life Sciences,,,,,,,,,,,Research Staff,,,Apple/Mac OS,Monthly,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,B,"D: contacts <- read.table(“data.txt”, header = TRUE, sep = “,”)","will NOT work, the data isn’t a csv file",,Use the head() function to see the last few lines of the data.,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,
10/02/2017 02:51:59 PM,10/02/2017 03:07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2017 02:11:15 PM,10/02/2017 02:11:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2017 10:57:58 AM,10/02/2017 11:13:22 AM,1sasta,,Bioinformatics/Genomics,Biomedical/Health Sciences,,,,,,,,,,,Epidemiology,,Graduate Student,,,,,,,Doctoral Candidate,Windows,Daily,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,Read about it in a newsletter or university web site,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,,,C,"Options A, B and D will all work.","will work, the data is a csv file with headers",Use the str() function to see information about the data.,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"D: ggplot(df, aes(x, y)) + geom_point()","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,"Build on the R skills I already have and learn things about SQL, which I'm currently trying to teach myself how to use."
10/02/2017 10:55:07 AM,10/02/2017 11:05:24 AM,1igwyn,,,,Business,,,,,,,,,Social Sciences,,,,,,,Government Employee,,,,Windows,Daily,Neutral,To learn skills that I can apply to my current work,,,,,,,,,My advisor/supervisor told me about it,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,B,Options A and C will both work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2017 04:38:55 PM,10/01/2017 04:46:26 PM,2plblu,Agricultural or Environmental Sciences,,,,,,,,,,,,Social Sciences,,,Graduate Student,,,,,,,,Apple/Mac OS,Weekly,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,,B,"Options A, B and D will all work.","will work, the data is a csv file with headers",,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,"I am currently satisfied with my processes but I am mostly self taught so it is usually pretty ad-hoc. Learning some new tools would surely help, especially as I am beginning to work with larger datasets."
09/29/2017 11:05:00 PM,09/29/2017 11:13:21 PM,1joduk,,,,,,,,,,Life Sciences,,,,Conservation Science,,,,,,Government Employee,,,,Windows,Less than once a year,Unsatisfied,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,Combine related pieces of information in one cell.,Leave the raw data raw and make edits to a copy of the data.,,B,"B: contacts <- read.csv(“data.txt”, header = TRUE, sep = “,”)","will NOT work, you need to specify options for all parameters to a function",,,,,"C: ggplot(df, aes(x, y))","will work, it contains all of the necessary information.",,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Agree,Being able to use R and good dataset management techniques
09/29/2017 11:01:22 PM,09/29/2017 11:12:37 PM,3xieas,,,,,,,,,,,,,,Information Science ,,,,Faculty,,,,,,Windows,Daily,Neutral,To learn skills that I can apply to my current work,,,,,,,Twitter or other social media,,,,,R,Put each variable (e.g. ‘weight’ or ‘temperature’) in its own column.,Put each observation in its own row.,,Leave the raw data raw and make edits to a copy of the data.,"Place comments alongside data values within a single cell, so they don’t get separated.",C,"B: contacts <- read.csv(“data.txt”, header = TRUE, sep = “,”)","will NOT work, you need to specify options for all parameters to a function",,,Type the name of the data frame to display the whole dataset.,Use the dim() function to see the number of rows and columns in the dataset.,"D: ggplot(df, aes(x, y)) + geom_point()",,"will NOT work, you need to specify the type of plot that you want.",,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,
