When-Taking-Survey,First-Time,Research,Status,Status-Other,Involvement,Practical-Knowledge,Organize-Data,Use-OpenRefine,Import-Python,Import-R,Visualizations-in-Python,Visualizations-in-R,Construct-SQL,Use-command-line,Skill-Level-Prior,Skill-Level-Following,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Application,Worth-My-Time,Material,Recommend,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Effective,Instructors-Enthusiastic,Workshop-in-US,Age,Gender,Gender-Other,Race-American-Indian,Race-Asian,Race-Black,Race-Hispanic,Race-Islander,Race-White,Race-Prefer-Not,Race-Other
"I have recently completed the workshop, and am taking it after I left the event",yes,Biology,Post-doc,,Somewhat involved,Some practical knowledge,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Very low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,yes,25-34,Male,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,35-44,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Neuroscience,Staff,,Enthusiastically involved,A great deal,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,yes,25-34,Male,,,,Black or African American,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Bioengineering,Graduate student,,Enthusiastically involved,A great deal,Strongly Disagree,Strongly disagree,NA/Not covered at this workshop,Strongly Disagree,NA/Not covered at this workshop,Strongly disagree,NA/Not covered at this workshop,Neutral,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Female,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biochemistry,Post-doc,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Chemistry,Post-doc,,Very involved,Some practical knowledge,Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Most of the time,Always,Most of the time,Most of the time,yes,25-34,Female,,,Asian/Pacific Islander,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Physics,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,25-34,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Chemistry,Post-doc,,Very involved,A great deal,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Humanities,Post-doc,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Female,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Physics,Graduate student,,Very involved,Some practical knowledge,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,25-34,Female,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biology,Post-doc,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Low,Somewhat higher,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes,18-24,Female,,,,,,,,Prefer not to say,
"I have just completed the workshop, and am taking it at the event",yes,Astronomy,Graduate student,,Very involved,A great deal,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Psychology,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Very low,Higher,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Engineering,Undergraduate student,,Enthusiastically involved,A great deal,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Neutral,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Most of the time,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Humanities,Staff,,Enthusiastically involved,Some practical knowledge,Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Humanities,Graduate student,,Very involved,A great deal,Agree,Neutral,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,High,Somewhat higher,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,Staff,,Somewhat involved,Some practical knowledge,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Agree,Neither high nor low,Higher,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Always,Always,Usually,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Information Science,Other (please specify),Library Staff,Very involved,Some practical knowledge,Agree,Agree,Disagree,Agree,Disagree,Agree,,Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Most of the time,Always,Most of the time,Most of the time,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Social Science,Faculty,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neither high nor low,Higher,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Biology,Post-doc,,Enthusiastically involved,A great deal,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Humanities,Graduate student,,Enthusiastically involved,Some practical knowledge,Strongly Agree,Strongly disagree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",no,Engineering,Undergraduate student,,Somewhat involved,Some practical knowledge,Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Disagree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Always,Always,Most of the time,Always,no,25-34,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Physics,Graduate student,,Very involved,A great deal,Neutral,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,High,Somewhat higher,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34,Female,,,,,,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Library Science,Faculty,,Very involved,Some practical knowledge,Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Sometimes,Usually,Sometimes,Usually,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34,Male,,,,,Hispanic or Latino,,White/Caucasian,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Archiving,Graduate student,,Somewhat involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,Low,Somewhat higher,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Most of the time,Always,Usually,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-44,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Faculty,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,High,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Female,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55-64,Prefer not to say,,,,,,,,Prefer not to say,
"I have just completed the workshop, and am taking it at the event",yes,Genetics,Faculty,,Enthusiastically involved,Some practical knowledge,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Very low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,35-44,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biology,Post-doc,,Very involved,A great deal,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,45-54,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Genetics,Faculty,,Very involved,A great deal,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neither high nor low,Much higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,18-24,Male,,,,Black or African American,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Bioenergetics,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",no,Plant Science,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Always,Always,Always,Always,yes,35-44,Male,,,,,,,White/Caucasian,,
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neither high nor low,Higher,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Most of the time,Most of the time,Most of the time,Most of the time,yes,25-34,Male,,,,,Hispanic or Latino,,,,
"I have just completed the workshop, and am taking it at the event",yes,Biology,Graduate student,,Very involved,A great deal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Low,Much higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Most of the time,Always,Always,Always,yes,25-34,Male,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither high nor low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Usually,Usually,Usually,Usually,yes,35-44,Female,,,,,,,,,Arabic
"I have just completed the workshop, and am taking it at the event",yes,Biology,Graduate student,,Somewhat involved,Some practical knowledge,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Very low,Somewhat higher,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Most of the time,Always,Most of the time,Most of the time,yes,25-34,Female,,,Asian/Pacific Islander,,,,,,
"I have just completed the workshop, and am taking it at the event",no,Genomics,Graduate student,,Very involved,A great deal,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes,25-34,Female,,,,,,,,Prefer not to say,
"I have just completed the workshop, and am taking it at the event",yes,Microbiology,Graduate student,,Somewhat involved,Some practical knowledge,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neither high nor low,Somewhat higher,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Always,Always,Usually,Usually,yes,25-34,Male,,,,,,,White/Caucasian,,
