End Date,NewDate,Please indicate your relevant fields or disciplines.��Check all that apply.,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,What is your current status? Check all that apply.,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,What operating system is on the computer you are bringing to the workshop?,How often do you currently use any of the following?,Column24,Column25,Column26,"Please rate your level of satisfaction with your current data management and analysis workflow (i.e. how you collect, organize, store and analyze your data).",Why are you attending this workshop? Check all that apply.,Column27,Column28,Column29,Column30,How did you find out about this workshop? Check all that apply.,Column31,Column32,Column33,Column34,Column35,Column36,Which of the following programming languages��is being covered in your workshop?,Please rate your level of agreement with the following statements:,Column37,Column38,Column39,Column40,Column41,Please share what you most hope to learn from attending this workshop.,In what country is your workshop being held?,With��what gender do you most identify?,Column42,How would you describe yourself? Choose one or more of the following groups.,Column43,Column44,Column45,Column46,Column47,Column48,Column49
12/18/17 0:54,2017-12,,,Biomedical/Health Sciences,Business/Economics,,,,,,,Mathematics or Statistics,,,,,,,,,,Research Staff,Management/Administrator,,,Apple/Mac OS,Several times per year,Several times per year,Never,Less than once per year,Neutral,,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,I don't know/I don't remember,Strongly agree,Neutral,Agree,Agree,Disagree,Neutral,,United States of America,Female,,,,Black or African American(A person having origins in any of the Black racial groups of Africa ��� includes Caribbean Islanders and others of African origin.),,,,,
12/17/17 22:09,2017-12,Agricultural or Environmental Sciences,,,,,Earth Sciences,,,,,,,,Aquatic Sciences,Undergraduate Student,,,,,,,,,,Apple/Mac OS,Several times per year,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,To be a more efficient scientist,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,R,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Agree,I want to be able to use programs to better organize and interpret my data. And I want to make correct assumptions about the data that others can understand. ,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/17/17 21:25,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/17 20:20,2017-12,Agricultural or Environmental Sciences,,,,,Earth Sciences,,,,Life��Sciences,,,,,,,,Faculty,,,,,,,Windows,Several times per year,Several times per year,Never,Never,Unsatisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Strongly agree,Agree,Agree,Agree,Disagree,Agree,,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/17/17 20:23,2017-12,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,,,Faculty,,,,,,,Windows,Several times per year,Never,Never,Never,Satisfied,,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,R,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,"I don't have anything specific; however, I want to enhance my quantitative skills",United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/17/17 20:16,2017-12,,,,,,Earth Sciences,,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Several times per year,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,Twitter or other social media,,My advisor/supervisor told me about it,,,R,Strongly agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly agree,,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/17/17 16:08,2017-12,,,,,,,,,,Life��Sciences,,,,,,,,Faculty,,,,,,,Apple/Mac OS,Several times per year,Never,Never,Less than once per year,Not applicable,,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,I don't know/I don't remember,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,"Enough to keep learning. I don't expect to learn enough to become competent, but I almost don't know where to start or what I need to learn, so I'd like to leave with a plan and some basic skills",United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/17/17 13:27,2017-12,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Weekly,Never,Never,Never,Not applicable,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Agree,Disagree,Neutral,Neutral,Disagree,Agree,,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/16/17 14:51,2017-12,Agricultural or Environmental Sciences,,,,,Earth Sciences,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/16/17 1:37,2017-12,,,,,,,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Less than once per year,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 17:44,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,,,,,Government Employee,,,,,UNIX/Linux,Never,Never,Never,Never,Very unsatisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,test,Afghanistan,,,,,,,,,,
12/15/17 15:58,2017-12,,Bioinformatics/Genomics,,,,Earth Sciences,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Less than once per year,Less than once per year,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,I don't know/I don't remember,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,How to utilize databases and programming languages to make my analysis of my data stronger,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 15:07,2017-12,,,,Business/Economics,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Neutral,,,,,test,Received an email about the workshop,,,,,,,R,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,test ,United States of America,Female,,,,,,,,I prefer not to say.,
12/15/17 14:40,2017-12,,,,,,,,,,,,,Social Sciences,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Not applicable,,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,I hope to gain basic data skills (I have no experience other than SPSS...),United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 14:40,2017-12,Agricultural or Environmental Sciences,,,,,Earth Sciences,,,,Life��Sciences,,Physical Sciences,,,,,,,,,Research Staff,,,,Windows,Monthly,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,My advisor/supervisor told me about it,,,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Learning the basics of SQL and how to manage data using it.,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 14:43,2017-12,Agricultural or Environmental Sciences,,,,,Earth Sciences,,,,,,,,,,,,,,,Research Staff,,,,Windows,Less than once per year,Several times per year,Never,Less than once per year,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,"To learn new skills in data management, productivity, and analysis.",United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 14:35,2017-12,,,,,,,,,,Life��Sciences,,,,,,,,Faculty,,,,,,,Windows,Never,Never,Never,Never,Very unsatisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,greater familiarity with R.  I have no interest in the other program and may opt out of that part of the workshop.,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 14:33,2017-12,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,Life��Sciences,,,,,,,,Faculty,,,Research Staff,,,,Windows,Monthly,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,,My advisor/supervisor told me about it,,,R,Strongly disagree,Neutral,Agree,Agree,Agree,Agree,"I hope to learn better ways to manage and analyze the data we collect for different projects. My current database devlopment, management, and data organization and analysis skill are not where I would like them to be and it leads to frustration. ",United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 14:22,2017-12,Agricultural or Environmental Sciences,,,,,Earth Sciences,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Weekly,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,My advisor/supervisor told me about it,,,R,Strongly agree,Agree,Agree,Agree,Neutral,Agree,"Data management, time series data work in R ",United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 12:32,2017-12,Agricultural or Environmental Sciences,Bioinformatics/Genomics,,,,,,,,,Mathematics or Statistics,,,,Undergraduate Student,,,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,,,As a requirement for my program/current position,,,,,,My advisor/supervisor told me about it,,,R,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,"To learn the programming language R and to learn how to better collect, organize, and store information ",United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 12:33,2017-12,,Bioinformatics/Genomics,,,,,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Several times per year,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 10:59,2017-12,,Bioinformatics/Genomics,,,,,,,,Life��Sciences,,,,,,,,Faculty,,,,,,,Not sure,Several times per year,Never,Never,Several times per year,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,data management and representation,United States of America,Female,,,"Asian(A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/15/17 9:26,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/17 13:16,2017-12,,,,,,,,Humanities,Library Sciences,,,,,,,,,,,,,,,"Librarian, liaison to History Department",Windows,Never,Less than once per year,Never,Never,Neutral,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,I don't know/I don't remember,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,"As library liaison to the UW History Dept, I would like to learn new skills/ideas of ways to support the research of history faculty. I imagine that digital humanities and data-driven research endeavors will continue to grown.",United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/14/17 12:36,2017-12,Agricultural or Environmental Sciences,,,,,Earth Sciences,,,,,,,,,,,,,,,Research Staff,,,,Windows,Less than once per year,Several times per year,Never,Less than once per year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,To learn new skills and tools to analyze different types of data,United States of America,Male,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/14/17 11:40,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/17 9:20,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,,,R,Strongly agree,Neutral,Neutral,Disagree,Disagree,Neutral,,Canada,,,,,,,,,,
12/14/17 9:00,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,Industry Employee,,,,,,Apple/Mac OS,Daily,Weekly,Never,Less than once per year,Very unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,Twitter or other social media,,My advisor/supervisor told me about it,,,R,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,"How to make macros, how to analyze data more quickly/efficiently/optimally",Canada,,,,,,,,,,
12/14/17 7:06,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,,,,,,Research Staff,,,,Apple/Mac OS,Weekly,Monthly,Several times per year,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Agree,Neutral,Agree,Agree,Neutral,Agree,,Canada,,,,,,,,,,
12/14/17 5:35,2017-12,,,,,,,Engineering,,,Life��Sciences,,,,Biomaterials,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,,,,,Received an email about the workshop,,,,,My friend/colleague told me about it,,R,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,,Germany,,,,,,,,,,
12/14/17 4:50,2017-12,,,,,,,,Humanities,,,,,,,,,,,,,,,,supporting staff member at university,Windows,Less than once per year,Less than once per year,Monthly,Monthly,Not sure,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Neutral,Neutral,Agree,Agree,Agree,Agree,Get a better understanding about data cleaning and manipulation,United Kingdom,,,,,,,,,,
12/14/17 4:47,2017-12,,,,,Computer Science,,,,,,,,,,,,,Faculty,,,,,,,UNIX/Linux,Daily,Monthly,Daily,Daily,Satisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,,United Kingdom,,,,,,,,,,
12/14/17 4:33,2017-12,,,,,,,,,,,Mathematics or Statistics,,Social Sciences,,,Graduate Student,,,,,,,,,Apple/Mac OS,Monthly,Never,Monthly,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,Python,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,"Improve python skills, build on a toolkit for interrogating large databases.",United Kingdom,,,,,,,,,,
12/14/17 4:00,2017-12,,,,,Computer Science,,,,,,,,,,,,,,Industry Employee,,,,,,Windows,Weekly,Daily,Daily,Never,Very satisfied,,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,Python,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Deeper understanding of Python analytical techniques,United Kingdom,,,,,,,,,,
12/13/17 22:58,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,,,,,,Research Staff,,,,Windows,Less than once per year,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,,Disagree,Agree,,Disagree,Agree,,Canada,,,,,,,,,,
12/13/17 22:33,2017-12,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,Graduate Student,,,,,Research Staff,,,,Windows,Less than once per year,Several times per year,Never,Never,Satisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,To learn skills that will help me get a job,,,,,,,My advisor/supervisor told me about it,My friend/colleague told me about it,,R,Strongly agree,Agree,Agree,Disagree,Neutral,Agree,Get a good feel for how to use programs that work with data in general as well as large data sets.,United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/13/17 21:53,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Apple/Mac OS,Less than once per year,Less than once per year,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,- how to analyze RNAsequencing and CRISPR screen data using R,Canada,,,,,,,,,,
12/13/17 20:32,2017-12,,,Biomedical/Health Sciences,,,,,,,,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Unsatisfied,,To learn skills that I can apply to my work in the future,,,,Received an email about the workshop,,,,,,,R,Agree,Disagree,Neutral,Disagree,Strongly disagree,Neutral,I hope to learn how to best organize my data and extract meaningful information in various ways,Canada,,,,,,,,,,
12/13/17 14:57,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/17 14:45,2017-12,,,,,Computer Science,Earth Sciences,Engineering,,Library Sciences,Life��Sciences,,,,,,,,,,,Research Staff,Management/Administrator,,,Windows,Several times per year,Weekly,Less than once per year,Less than once per year,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,"Expand my knowledge of SQL, become proficient in R become better at analyzing my data. ",United States of America,Female,,,,,,,"White(A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",,
12/13/17 14:09,2017-12,,,,,,,,,,,,,Social Sciences,,,Graduate Student,,,,,,,,,Apple/Mac OS,Weekly,Several times per year,Weekly,Never,Neutral,To learn skills that I can apply to my current work,,,,,,,,,,My friend/colleague told me about it,,Python,Agree,Neutral,Agree,Agree,Disagree,Agree,,United Kingdom,,,,,,,,,,
12/13/17 12:37,2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/17 12:23,2017-12,,,Biomedical/Health Sciences,,,,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Never,Never,Never,Never,Unsatisfied,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,,,,,,,,My friend/colleague told me about it,,R,Agree,Disagree,Neutral,Agree,Disagree,Agree,How to apply R in my current and future projects,Germany,,,,,,,,,,
12/13/17 12:06,2017-12,,Bioinformatics/Genomics,Biomedical/Health Sciences,,,,,,,Life��Sciences,,,,,,Graduate Student,,,,,,,,,Windows,Monthly,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,To learn skills that I can apply to my work in the future,,As a requirement for my program/current position,,,,,,,My friend/colleague told me about it,,R,,,,,,,,,,,,,,,,,,
12/13/17 11:01,2017-12,,,Biomedical/Health Sciences,,,,,,,Life��Sciences,,,,,,,Postdoctoral Researcher,,,,,,,,Apple/Mac OS,Never,Never,Never,Never,Neutral,To learn skills that I can apply to my current work,,,,,,,,,,My friend/colleague told me about it,,R,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,be able to analyze RNAseq data,Germany,,,,,,,,,,
12/13/17 5:32,2017-12,,,,,,,,,,,,,,Professional support services,,,,,,Government Employee,,,,,Windows,Daily,Daily,Daily,Monthly,Neutral,,,,,Planning to be an Carpentry instructor,Received an email about the workshop,,,,,,,Python,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Python,United Kingdom,,,,,,,,,,
